uid,brand,url,price,currency,image_url,collection,reference_code,life_span_date,life_span,price_eur,year,quarter,price_category,year_quarter
797667,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/luminor/pam02392-luminor-marina---42mm.html,7800,CHF,"https://www.panerai.com/content/dam/rcq/pan/20/66/85/6/2066856.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/20/66/85/6/2066856.png.transform.product_reference_image_230_2x.png 2x",LUMINOR,PNPAM02392,2021-11-30,Q4 November 2021,7478.427612655801,2021,4,Entry Level,2021Q4
797668,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/luminor/pam01084-luminor-logo---44mm.html,5400,CHF,"https://www.panerai.com/content/dam/rcq/pan/20/83/65/0/2083650.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/20/83/65/0/2083650.png.transform.product_reference_image_230_2x.png 2x",LUMINOR,PNPAM01084,2021-11-30,Q4 November 2021,5177.372962607862,2021,4,Entry Level,2021Q4
797669,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/luminor/pam01085-luminor-blu-mare---44mm.html,5400,CHF,"https://www.panerai.com/content/dam/rcq/pan/20/61/23/0/2061230.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/20/61/23/0/2061230.png.transform.product_reference_image_230_2x.png 2x",LUMINOR,PNPAM01085,2021-11-30,Q4 November 2021,5177.372962607862,2021,4,Entry Level,2021Q4
797670,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/luminor/pam01086-luminor-base-logo---44mm.html,4900,CHF,"https://www.panerai.com/content/dam/rcq/pan/20/83/64/8/2083648.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/20/83/64/8/2083648.png.transform.product_reference_image_230_2x.png 2x",LUMINOR,PNPAM01086,2021-11-30,Q4 November 2021,4697.986577181208,2021,4,Entry Level,2021Q4
797671,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/luminor/pam01661-luminor-marina-carbotech---44mm.html,13800,CHF,"https://www.panerai.com/content/dam/rcq/pan/20/15/95/0/2015950.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/20/15/95/0/2015950.png.transform.product_reference_image_230_2x.png 2x",LUMINOR,PNPAM01661,2021-11-30,Q4 November 2021,13231.064237775649,2021,4,Mid Range,2021Q4
797672,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/luminor/pam01313-luminor-marina---44mm.html,8000,CHF,"https://www.panerai.com/content/dam/rcq/pan/20/50/94/8/2050948.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/20/50/94/8/2050948.png.transform.product_reference_image_230_2x.png 2x",LUMINOR,PNPAM01313,2021-11-30,Q4 November 2021,7670.182166826463,2021,4,Entry Level,2021Q4
797673,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/luminor/pam01393-luminor-marina---42mm.html,7800,CHF,"https://www.panerai.com/content/dam/rcq/pan/20/81/31/7/2081317.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/20/81/31/7/2081317.png.transform.product_reference_image_230_2x.png 2x",LUMINOR,PNPAM01393,2021-11-30,Q4 November 2021,7478.427612655801,2021,4,Entry Level,2021Q4
797674,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/luminor/pam01157-luminor-marina-esteel--blu-profondo.html,8700,CHF,"https://www.panerai.com/content/dam/rcq/pan/21/48/51/9/2148519.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/21/48/51/9/2148519.png.transform.product_reference_image_230_2x.png 2x",LUMINOR,PNPAM01157,2021-11-30,Q4 November 2021,8341.323106423779,2021,4,Entry Level,2021Q4
797675,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/luminor/pam01356-luminor-marina-esteel--verde-smeraldo.html,8700,CHF,"https://www.panerai.com/content/dam/rcq/pan/21/48/55/3/2148553.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/21/48/55/3/2148553.png.transform.product_reference_image_230_2x.png 2x",LUMINOR,PNPAM01356,2021-11-30,Q4 November 2021,8341.323106423779,2021,4,Entry Level,2021Q4
797676,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/luminor/pam01358-luminor-marina-esteel-grigio-roccia.html,8700,CHF,"https://www.panerai.com/content/dam/rcq/pan/21/48/55/8/2148558.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/21/48/55/8/2148558.png.transform.product_reference_image_230_2x.png 2x",LUMINOR,PNPAM01358,2021-11-30,Q4 November 2021,8341.323106423779,2021,4,Entry Level,2021Q4
797677,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/luminor/pam01109-luminor-chrono.html,9000,CHF,"https://www.panerai.com/content/dam/rcq/pan/21/48/44/8/2148448.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/21/48/44/8/2148448.png.transform.product_reference_image_230_2x.png 2x",LUMINOR,PNPAM01109,2021-11-30,Q4 November 2021,8628.954937679771,2021,4,Entry Level,2021Q4
797678,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/luminor/pam01218-luminor-chrono.html,9000,CHF,"https://www.panerai.com/content/dam/rcq/pan/21/48/54/1/2148541.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/21/48/54/1/2148541.png.transform.product_reference_image_230_2x.png 2x",LUMINOR,PNPAM01218,2021-11-30,Q4 November 2021,8628.954937679771,2021,4,Entry Level,2021Q4
797679,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/luminor/pam01110-luminor-chrono.html,9900,CHF,"https://www.panerai.com/content/dam/rcq/pan/21/48/47/5/2148475.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/21/48/47/5/2148475.png.transform.product_reference_image_230_2x.png 2x",LUMINOR,PNPAM01110,2021-11-30,Q4 November 2021,9491.850431447747,2021,4,Entry Level,2021Q4
